"id_curso","nome","id_coordenador","coordenador","situacao_curso","nivel_ensino","grau_academico","modalidade_educacao","area_conhecimento","tipo_oferta","turno","tipo_ciclo_formacao","municipio","campus","id_unidade_responsavel","unidade_responsavel","website","data_funcionamento","codigo_inep","dou","portaria_reconhecimento","convenio_academico"
414391,"CIÃŠNCIAS BIOLÃ“GICAS",15122,"Francistonia Wolfgram Gravena MÃ©szeth Joselia","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias BiolÃ³gicas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",455,"INSTITUTO DE CIÃŠNCIAS BIOLÃ“GICAS","","2017-07-24","44382","2017-08-07","846",NULL
414392,"CIÃŠNCIAS BIOLÃ“GICAS",12935,"Ravaglia Massicano Halushuk","ATIVO",NULL,"Licenciado","Presencial","CiÃªncias BiolÃ³gicas","Semestral","Noturno","Um ciclo","BRASÃLIA","DARCY RIBEIRO",455,"INSTITUTO DE CIÃŠNCIAS BIOLÃ“GICAS","","2015-12-14","160","2007-12-13","40",NULL
414393,"CIÃŠNCIAS BIOLÃ“GICAS",NULL,NULL,"INATIVO",NULL,"Licenciado","A DistÃ¢ncia","CiÃªncias BiolÃ³gicas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",455,"INSTITUTO DE CIÃŠNCIAS BIOLÃ“GICAS","","2013-12-18","101550","2014-04-14","231",NULL
414130,"CIÃŠNCIAS CONTÃBEIS",31617,"Kanheski Simari Para-Assu","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",333,"DEPTO CIÃŠNCIAS CONTÃBEIS ATUARIAIS","","2017-07-24","149","2017-04-04","271",NULL
414131,"CIÃŠNCIAS CONTÃBEIS",8234,"Abatti Omizzollo Cidiclei","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Noturno","Um ciclo","BRASÃLIA","DARCY RIBEIRO",333,"DEPTO CIÃŠNCIAS CONTÃBEIS ATUARIAIS","","2017-07-24","167","2017-04-04","271",NULL
414699,"CIÃŠNCIAS ECONÃ”MICAS",3579,"Roserlei Nfuny Tiezzi","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",548,"DEPTO ECONOMIA","","2017-07-24","122","2017-04-04","271",NULL
702703,"CIÃŠNCIAS NATURAIS                                                     ",15816,"Rediguieri Raqueline Ertal","ATIVO",NULL,"Licenciado","Presencial","Outra","Semestral","Noturno","Um ciclo","BRASÃLIA","FACULDADE DE PLANALTINA",666,"FACULDADE DE PLANALTINA",NULL,"2020-02-19","92267","2016-07-11","301",NULL
702702,"CIÃŠNCIAS NATURAIS                                                     ",3658,"DANILO ARRUDA FURTADO","ATIVO",NULL,"Licenciado","Presencial","Outra","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","FACULDADE DE PLANALTINA",666,"FACULDADE DE PLANALTINA",NULL,"2020-02-19","112790","2013-10-16","517",NULL
414404,"CIÃŠNCIAS SOCIAIS",3479,"Andrews Sartoratto","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",479,"DEPARTAMENTO DE ESTUDOS LATINO AMERICANO","","2019-03-06","33204","2017-08-07","846",NULL
702695,"CIÃŠNCIAS SOCIAIS                                                      ",4778,"EMERSON FERREIRA ROCHA","ATIVO",NULL,"Licenciado","Presencial","Outra","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",483,"DEPARTAMENTO DE SOCIOLOGIA",NULL,"2020-02-19","44418","2017-08-07","848",NULL
414407,"CIÃŠNCIAS SOCIAIS - ANTROPOLOGIA",15396,"Knust Ferezim Baasch Ferrareis","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Humanas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",481,"DEPTO ANTROPOLOGIA","dan@unb.br ou departamentodeantropologia@unb.br (Site: www.dan.unb.br)","1997-07-28","34983","1972-11-10","071346",NULL
414425,"CIÃŠNCIAS SOCIAIS - SOCIOLOGIA",NULL,NULL,"ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",483,"DEPARTAMENTO DE SOCIOLOGIA","","2012-01-02","29692","2011-09-20","382",NULL
414608,"COMPUTAÃ‡ÃƒO",16860,"WILSON HENRIQUE VENEZIANO","ATIVO",NULL,"Licenciado","Presencial","CiÃªncias Exatas e da Terra","Semestral","Noturno","Um ciclo","BRASÃLIA","DARCY RIBEIRO",508,"DEPTO CIÃŠNCIAS DA COMPUTAÃ‡ÃƒO","","2015-12-14","18032","2015-12-30","1096",NULL
414151,"COMUNICAÃ‡ÃƒO SOCIAL - AUDIOVISUAL",17896,"PABLO GONCALO PIRES DE CAMPOS MARTINS","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",351,"DEPTO AUDIOVISUAIS E PUBLICIDADE","","2013-08-12","70638","2013-10-17","522",NULL
414137,"COMUNICAÃ‡ÃƒO SOCIAL - COMUNICAÃ‡ÃƒO ORGANIZACIONAL",17642,"Adilai Basilio Pollig","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Noturno","Um ciclo","BRASÃLIA","DARCY RIBEIRO",345,"DEPTO DE COMUNICACAO ORGANIZACIONAL","","2010-02-28","1140062","2015-04-16","299",NULL
414164,"COMUNICAÃ‡ÃƒO SOCIAL - JORNALISMO",3734,"DAVID RENAULT DA SILVA","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",352,"DEPTO JORNALISMO","","2006-08-21","34642","2013-12-19","706",NULL
414162,"COMUNICAÃ‡ÃƒO SOCIAL - JORNALISMO",3734,"DAVID RENAULT DA SILVA","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",352,"DEPTO JORNALISMO","","2016-08-05","34642","2013-12-19","706",NULL
414156,"COMUNICAÃ‡ÃƒO SOCIAL - PUBLICIDADE E PROPAGANDA",16630,"Rossignoli Gommou Mirandava","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",351,"DEPTO AUDIOVISUAIS E PUBLICIDADE","","2017-07-24","31381","2017-04-04","271",NULL
414966,"DESENHO INDUSTRIAL - PROGRAMAÃ‡ÃƒO VISUAL",NULL,NULL,"ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",660,"DEPARTAMENTO DE DESIGN (11.01.01.14.04)",NULL,"2006-08-21","34992","1998-09-28","001094",NULL
414970,"DESIGN - PROGRAMAÃ‡ÃƒO VISUAL",969,"Belisse Jucksch Sulek","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",660,"DEPARTAMENTO DE DESIGN (11.01.01.14.04)",NULL,"2017-07-24","34992","2017-04-04","271",NULL
414971,"DESIGN - PROJETO DO PRODUTO",19788,"GABRIEL LYRA CHAVES","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",660,"DEPARTAMENTO DE DESIGN (11.01.01.14.04)",NULL,"2017-07-24","26978","2017-04-04","271",NULL
414220,"DIREITO",4100,"DOUGLAS ANTONIO ROCHA PINHEIRO","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",370,"FACULDADE DE DIREITO","","2017-07-24","148","2017-07-24","764",NULL
414221,"DIREITO",6985,"Carllay Tanji Bombim","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Sociais Aplicadas","Semestral","Noturno","Um ciclo","BRASÃLIA","DARCY RIBEIRO",370,"FACULDADE DE DIREITO","","2017-07-24","165","2017-07-24","763",NULL
414453,"EDUCAÃ‡ÃƒO ARTÃSTICA - MÃšSICA",NULL,NULL,"INATIVO",NULL,"Licenciado","Presencial","LingÃ¼Ã­stica, Letras e Artes","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",495,"DEPTO MÃšSICA","","2006-08-21","27860","1980-06-10","000371",NULL
414881,"EDUCAÃ‡ÃƒO DO CAMPO - CIÃŠNCIAS DA NATUREZA",5270,"FELIPE CANOVA GONCALVES","ATIVO",NULL,"Licenciado","Presencial","CiÃªncias Humanas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","FACULDADE DE PLANALTINA",666,"FACULDADE DE PLANALTINA","","2015-03-02","112176","2016-07-11","301",NULL
414882,"EDUCAÃ‡ÃƒO DO CAMPO - CIÃŠNCIAS DA NATUREZA E MATEMÃTICA",5270,"FELIPE CANOVA GONCALVES","ATIVO",NULL,"Licenciado","Presencial","CiÃªncias Humanas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","FACULDADE DE PLANALTINA",666,"FACULDADE DE PLANALTINA","","2007-08-27","112176","2007-12-13","40",NULL
414885,"EDUCAÃ‡ÃƒO DO CAMPO - LINGUAGENS, ARTES E LITERATURA",5270,"FELIPE CANOVA GONCALVES","ATIVO",NULL,"Licenciado","Presencial","CiÃªncias Humanas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","FACULDADE DE PLANALTINA",666,"FACULDADE DE PLANALTINA","","2016-08-05","112176","2016-07-11","301",NULL
414886,"EDUCAÃ‡ÃƒO DO CAMPO - MATEMÃTICA",5270,"FELIPE CANOVA GONCALVES","ATIVO",NULL,"Licenciado","Presencial","Outra","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","FACULDADE DE PLANALTINA",666,"FACULDADE DE PLANALTINA","","2015-03-02","112176","2016-07-11","301",NULL
414275,"EDUCAÃ‡ÃƒO FÃSICA",890,"Eurivaldo Laurencia Zanetini Desclov Urani","ATIVO",NULL,"Licenciado","A DistÃ¢ncia","Outra","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",393,"FACULDADE DE EDUCAÃ‡ÃƒO FÃSICA","","2014-03-03","112160","2013-05-31","244",NULL
414276,"EDUCAÃ‡ÃƒO FÃSICA",14232,"Kassedani Scardoelli Fachinetto","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias da SaÃºde","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",393,"FACULDADE DE EDUCAÃ‡ÃƒO FÃSICA","","2015-12-14","1192413","2015-11-10","866",NULL
414274,"EDUCAÃ‡ÃƒO FÃSICA",NULL,NULL,"ATIVO",NULL,"Licenciado","Presencial","CiÃªncias da SaÃºde","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",393,"FACULDADE DE EDUCAÃ‡ÃƒO FÃSICA","",NULL,"142","2012-12-30","1096",NULL
414295,"ENFERMAGEM",3628,"Gezilda Kunio Lunchinger Panhoca","ATIVO",NULL,"Enfermeiro","Presencial","CiÃªncias da SaÃºde","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",422,"DEPTO ENFERMAGEM","","2014-12-30","143","2015-01-02","822",NULL
414902,"ENFERMAGEM",8466,"Gina Zatoni Florence","ATIVO",NULL,"Enfermeiro","Presencial","CiÃªncias da SaÃºde","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","FACULDADE DE CEILÃ‚NDIA",672,"FACULDADE DE CEILÃ‚NDIA","","2020-02-19","112818","2015-01-02","822",NULL
414915,"ENGENHARIA",9157,"Verhagen Dunningham Mincaroni Stefenoni Policastro","ATIVO",NULL,"Bacharel","Presencial","Outra","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","FACULDADE DO GAMA",673,"FACULDADE DO GAMA","","2008-08-04","5000587","1900-01-01","0",NULL
414916,"ENGENHARIA AEROESPACIAL",30701,"RONNE TOLEDO","ATIVO",NULL,"Bacharel","Presencial","Engenharias","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","FACULDADE DO GAMA",673,"FACULDADE DO GAMA","","2012-03-05","1269978","2007-12-13","40",NULL
414345,"ENGENHARIA AMBIENTAL",16924,"Thaisa Reitter de Bem","ATIVO",NULL,"Engenheiro","Presencial","Engenharias","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",437,"DEPTO ENGENHARIA CIVIL E AMBIENTAL","","2015-12-14","1140035","2015-12-02","932",NULL
414919,"ENGENHARIA AUTOMOTIVA",17485,"Andalecio Bralho Capelletti","ATIVO",NULL,"Bacharel","Presencial","Outra","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","FACULDADE DO GAMA",673,"FACULDADE DO GAMA","","2017-12-26","112889","2018-12-22","23",NULL
414350,"ENGENHARIA CIVIL",9203,"LENILDO SANTOS DA SILVA","ATIVO",NULL,"Engenheiro Civil","Presencial","Engenharias","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",437,"DEPTO ENGENHARIA CIVIL E AMBIENTAL","","2015-12-14","136","2015-12-30","1096",NULL
414610,"ENGENHARIA DE COMPUTAÃ‡ÃƒO",7621,"JOAO JOSE COSTA GONDIM","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Exatas e da Terra","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",508,"DEPTO CIÃŠNCIAS DA COMPUTAÃ‡ÃƒO","","2015-12-14","122204","2015-12-30","1096",NULL
414922,"ENGENHARIA DE ENERGIA",5271,"FELIPE CHAGAS STORTI","ATIVO",NULL,"Bacharel","Presencial","Engenharias","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","FACULDADE DO GAMA",673,"FACULDADE DO GAMA","","2018-02-26","112872","2016-06-23","211",NULL
414326,"ENGENHARIA DE PRODUÃ‡ÃƒO",11966,"Sperendio Darroite Dorvalina","ATIVO",NULL,"Bacharel","Presencial","Engenharias","Semestral","Noturno","Um ciclo","BRASÃLIA","DARCY RIBEIRO",429,"FACULDADE DE  TECNOLOGIA","","2015-12-14","122206","2015-12-02","932",NULL
414330,"ENGENHARIA DE REDES DE COMUNICAÃ‡ÃƒO",3514,"DANIEL GUERREIRO E SILVA","ATIVO",NULL,"Bacharel","Presencial","Engenharias","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",443,"DEPTO ENGENHARIA ELETRICA","","2016-03-02","18033","2015-12-30","1096",NULL
414924,"ENGENHARIA DE SOFTWARE",16074,"Gesiney Eldin Calanzani Blans Vavassori","ATIVO",NULL,"Bacharel","Presencial","Engenharias","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","FACULDADE DO GAMA",673,"FACULDADE DO GAMA","","2017-02-17","112891","2016-07-11","301",NULL
414360,"ENGENHARIA ELÃ‰TRICA",4404,"EDUARDO PEIXOTO FERNANDES DA SILVA","ATIVO",NULL,"Engenheiro Eletricista","Presencial","Engenharias","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",443,"DEPTO ENGENHARIA ELETRICA","","2019-03-06","137","2015-12-30","1096",NULL
414926,"ENGENHARIA ELETRÃ”NICA",17752,"MARCELINO MONTEIRO DE ANDRADE","ATIVO",NULL,"Bacharel","Presencial","Engenharias","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","FACULDADE DO GAMA",673,"FACULDADE DO GAMA","","2020-02-19","112887","2015-12-30","1096",NULL
414342,"ENGENHARIA FLORESTAL",12088,"Abdelhamid Polastre BiliÃ£o","ATIVO",NULL,"Engenheiro Florestal","Presencial","CiÃªncias AgrÃ¡rias","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",433,"DEPTO ENGENHARIA FLORESTAL","","2016-12-19","139","2016-12-15","795",NULL
414368,"ENGENHARIA MECÃ‚NICA",16027,"THIAGO DE CARVALHO RODRIGUES DOCA","ATIVO",NULL,"Engenheiro MecÃ¢nico","Presencial","Engenharias","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",449,"DEPARTAMENTO DE ENGENHARIA MECANICA","","2015-12-14","138","2015-12-30","1096",NULL
414333,"ENGENHARIA MECATRÃ”NICA - CONTROLE E AUTOMAÃ‡ÃƒO",6648,"Bersacula Wolker B Correia","ATIVO",NULL,"Engenheiro de Controle e AutomaÃ§Ã£o","Presencial","Engenharias","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",429,"FACULDADE DE  TECNOLOGIA","","2016-08-05","85124","2016-07-18","317",NULL
414862,"ENGENHARIA QUÃMICA",628,"ALEXANDRE PEREZ UMPIERRE","ATIVO",NULL,"Bacharel","Presencial","Engenharias","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",610,"INSTITUTO DE QUÃMICA","","2012-03-05","1192414","2007-12-13","40",NULL
414620,"ESTATÃSTICA",7457,"JHAMES MATOS SAMPAIO","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Exatas e da Terra","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",514,"DEPTO ESTATÃSTICA","","2019-03-06","119","2011-10-14","077543",NULL
414906,"FARMÃCIA",12201,"Aleticia Hosannam Tatsuta Donatelli Sa Citadin","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias da SaÃºde","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","FACULDADE DE CEILÃ‚NDIA",672,"FACULDADE DE CEILÃ‚NDIA","","2016-08-05","112794","2007-12-13","40",NULL
414286,"FARMÃCIA",706,"Sanotos Pieta Zeneratti","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias da SaÃºde","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",410,"FACULDADE DE  CIÃŠNCIAS DA SAÃšDE","","2015-03-02","18030","2015-01-02","822",NULL
414287,"FARMÃCIA",19176,"Sgarbossa Botacini Honotorio","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias da SaÃºde","Semestral","Noturno","Um ciclo","BRASÃLIA","DARCY RIBEIRO",410,"FACULDADE DE  CIÃŠNCIAS DA SAÃšDE","","2015-03-02","1140088","2015-01-02","822",NULL
414714,"FILOSOFIA",10652,"MARCIO GIMENES DE PAULA","ATIVO",NULL,"Licenciado","Presencial","CiÃªncias Humanas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",552,"DEPTO FILOSOFIA","","2013-08-12","44362","2012-12-27","071346",NULL
414715,"FILOSOFIA",19204,"FABIO MASCARENHAS NOLASCO","ATIVO",NULL,"Licenciado","Presencial","CiÃªncias Humanas","Semestral","Noturno","Um ciclo","BRASÃLIA","DARCY RIBEIRO",552,"DEPTO FILOSOFIA","","2015-12-14","1138346","2015-12-30","1096",NULL
414713,"FILOSOFIA",16731,"WANDERSON FLOR DO NASCIMENTO","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Humanas","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",552,"DEPTO FILOSOFIA","","2017-07-24","27858","2017-08-07","847",NULL
414663,"FÃSICA",12467,"Iasminy Diogenis Dorval Dilkin","ATIVO",NULL,"Bacharel","Presencial","CiÃªncias Exatas e da Terra","Semestral","Matutino e Vespertino","Um ciclo","BRASÃLIA","DARCY RIBEIRO",524,"INSTITUTO DE FÃSICA","","2014-08-04","26030","1973-03-13","071891",NULL
414657,"FÃSICA",19554,"KHALIL OLIVEIRA PORTUGAL","ATIVO",NULL,"Licenciado","Presencial","CiÃªncias Exatas e da Terra","Semestral","Noturno","Um ciclo","BRASÃLIA","DARCY RIBEIRO",524,"INSTITUTO DE FÃSICA","","2018-07-18","158","2016-12-15","1147",NULL
